Tree,Average term depth, Average number of sub-junction-nodes per junction node with sub-junction-nodes, Average viewed nodes fraction, Average viewed bytes fraction,Average choice correctness percentage, Number of supporting junction nodes
frAss5,6.684 ± 0.0668,4.9809 ± 0.0191,13.05 ± 2.55%,13.89 ± 2.73%,82.99 ± 1.79%,667
frAss5,6.6715 ± 0.0691,4.9807 ± 0.0193,9.74 ± 1.55%,10.67 ± 1.72%,84.19 ± 1.76%,631
frAss10,3.8593 ± 0.02,9.833 ± 0.167,7.697 ± 0.962%,7.642 ± 0.962%,76.62 ± 2.99%,390
frAss10,4.0617 ± 0.0284,9.852 ± 0.148,5.383 ± 0.423%,5.351 ± 0.443%,87.96 ± 1.88%,370
frAss15,3.3064 ± 0.0176,14.481 ± 0.519,10.189 ± 0.929%,9.295 ± 0.855%,74.36 ± 2.47%,285
frAss15,3.4297 ± 0.0172,14.529 ± 0.412,6.461 ± 0.535%,5.908 ± 0.51%,85.83 ± 2.19%,316
frAss20,3.1108 ± 0.0172,19.1 ± 0.954,6.425 ± 0.388%,6.25 ± 0.383%,88.94 ± 2.13%,257
frAss20,3.1079 ± 0.0126,19.136 ± 0.864,6.693 ± 0.441%,6.336 ± 0.41%,87.28 ± 2.21%,298
subd5,11.097 ± 0.135,2.2508 ± 0.0702,20.52 ± 4.36%,23.22 ± 4.98%,79.01 ± 1.43%,665
subd5,15.583 ± 0.128,2.4444 ± 0.0728,24.13 ± 8.82%,22.9 ± 8.37%,71.15 ± 2.59%,661
subd10,8.756 ± 0.108,3.036 ± 0.16,18.49 ± 3.46%,21 ± 3.92%,63.33 ± 2.23%,341
subd10,7.7582 ± 0.0648,3.404 ± 0.158,19.19 ± 4.1%,23.6 ± 5.09%,81.58 ± 1.99%,338
subd15,6.1002 ± 0.0489,3.492 ± 0.235,13.59 ± 2.59%,16.68 ± 3.18%,77.74 ± 2.3%,221
subd15,5.3593 ± 0.0451,4.137 ± 0.228,13.84 ± 1.21%,17.46 ± 1.56%,82.87 ± 1.31%,210
subd20,4.8054 ± 0.0353,4.846 ± 0.315,12.4 ± 1.74%,12.66 ± 1.81%,80.38 ± 2.23%,190
subd20,5.4576 ± 0.0398,4.405 ± 0.409,17.31 ± 3.2%,18.96 ± 3.55%,81.23 ± 2.22%,186
